x	y	z
-223600.372042	145309.938462	20794.966128
-223600.372042	160185.19509	20776.117059
-223600.372042	175060.451718	20773.550022
-223600.372042	189935.708346	20773.555543
-223600.372042	204810.964974	20775.698013
-223600.372042	294062.504741	20449.980071
-208918.91267	-211696.220608	20785.396184
-208918.91267	-196820.96398	20795.406034
-208918.91267	-181945.707353	20783.291141
-208918.91267	-167070.450725	20789.936969
-208918.91267	-152195.194097	20796.176021
-208918.91267	-137319.937469	20807.409875
-208918.91267	-122444.680841	20797.731336
-208918.91267	-107569.424213	20799.045531
-208918.91267	-92694.167585	20801.27451
-208918.91267	-77818.910957	20804.595584
-208918.91267	-62943.654329	20804.931188
-208918.91267	-48068.397701	20785.225007
-208918.91267	41183.142066	20730.629462
-208918.91267	56058.398694	20810.89967
-208918.91267	70933.655322	20803.261754
-208918.91267	85808.91195	20793.834153
-208918.91267	100684.168578	20806.644182
-208918.91267	115559.425206	20809.764628
-208918.91267	130434.681834	20805.535521
-208918.91267	145309.938462	20821.322427
-208918.91267	160185.19509	20803.068491
-208918.91267	175060.451718	20816.134364
-208918.91267	189935.708346	20827.770084
-208918.91267	204810.964974	20801.910135
-208918.91267	294062.504741	20496.064638
-194237.453299	-300947.760376	20885.333922
-194237.453299	-286072.503748	20798.885399
-194237.453299	-271197.24712	20816.398798
-194237.453299	-256321.990492	20795.650834
-194237.453299	-241446.733864	20799.53636
-194237.453299	-226571.477236	20803.85259
-194237.453299	-211696.220608	20811.718742
-194237.453299	-196820.96398	20822.054377
-194237.453299	-181945.707353	20807.373676
-194237.453299	-167070.450725	20803.404094
-194237.453299	-152195.194097	20809.57934
-194237.453299	-137319.937469	20815.486468
-194237.453299	-122444.680841	20819.755457
-194237.453299	-107569.424213	20818.910004
-194237.453299	-92694.167585	20825.282805
-194237.453299	-77818.910957	20819.81313
-194237.453299	-62943.654329	20812.975877
-194237.453299	-48068.397701	20817.095775
-194237.453299	-33193.141073	20799.049211
-194237.453299	-18317.884445	20787.874873
-194237.453299	-3442.627817	20801.962899
-194237.453299	11432.628811	20788.791496
-194237.453299	26307.885438	20792.146927
-194237.453299	41183.142066	20812.711441
-194237.453299	56058.398694	20814.384558
-194237.453299	70933.655322	20811.233434
-194237.453299	85808.91195	20821.853137
-194237.453299	100684.168578	20817.803798
-194237.453299	115559.425206	20812.414491
-194237.453299	130434.681834	20807.568782
